id,infinitif_en,preterit,participe_passe,francais,allemand,espagnol,italien,portugais,arabe,chinois
1,arise,arose,arisen,survenir/surgir,entstehen/aufkommen,surgir/levantarse,sorgere/nascere,surgir/levantar-se,ينشأ/يظهر,出现/产生
2,awake,awoke,awoken,se réveiller/s'éveiller,erwachen/aufwachen,despertarse/estar despierto,svegliarsi/destarsi,acordar/despertar,يستيقظ/يصحى,醒来/觉醒
3,be,was/were,been,être,sein,ser/estar,essere,ser/estar,يكون,是
4,bear,bore,borne,porter/supporter,tragen/ertragen,soportar/llevar,sopportare/portare,suportar/levar,يحمل/يتحمل,承受/携带
5,beat,beat,beaten,battre/frapper,schlagen/besiegen,golpear/vencer,battere/sconfiggere,bater/derrotar,يضرب/يهزم,打/击败
6,become,became,become,devenir,werden,convertirse/llegar a ser,diventare,tornar-se/ficar,يصبح/يصير,变成/成为
7,befall,befell,befallen,advenir/survenir,widerfahren,acaecer,sopraggiungere,acontecer,يحدث,发生
8,beget,begot,begotten,engendrer,zeugen,hengendrar,procreare,gerar,ينجب,生育
9,begin,began,begun,commencer/débuter,beginnen/anfangen,empezar/comenzar,iniziare/cominciare,começar/iniciar,يبدأ/يشرع,开始/着手
10,behold,beheld,beheld,voir/contempler,erblicken,contemplar,contemplare,contemplar,يشاهد/يتأمل,注视
11,bend,bent,bent,plier/se courber,biegen/sich beugen,doblar/inclinarse,piegare/curvarsi,dobrar/inclinar-se,ينحني/ينثني,弯曲/屈服
12,bereave,bereft/bereaved,bereft/bereaved,priver,berauben,despojar,privare,privar,يحرم,剥夺
13,beseech,besought/beseeched,besought/beseeched,supplier,anflehen,suplicar,supplicare,suplicar,يتوسل,恳求
14,bet,bet,bet,parier/miser,wetten/setzen,apostar/jugar,scommettere/puntare,apostar/arriscar,يراهن/يقامر,打赌/下注
15,bid,bid/bade,bid/bidden,offrir/enchérir,bieten/steigern,pujar/ofrecer,offrire,fazer oferta,يقدم عرض,出价
16,bind,bound,bound,lier/attacher,binden,atar,legare,amarrar,يربط,绑
17,bite,bit,bitten,mordre,beißen,morder,mordere,morder,يعض,咬
18,bleed,bled,bled,saigner,bluten,sangrar,sanguinare,sangrar,ينزف,流血
19,blow,blew,blown,souffler,blasen,soplar,soffiare,soprar,ينفخ,吹
20,break,broke,broken,casser/briser,brechen,romper,rompere,quebrar,يكسر,打破
21,breed,bred,bred,élever/engendrer,züchten,criar,allevare,criar,يربي,繁殖
22,bring,brought,brought,apporter/amener,bringen,traer,portare,trazer,يجلب,带来
23,broadcast,broadcast,broadcast,émettre/diffuser,ausstrahlen,transmitir,trasmettere,transmitir,يبث,广播
24,build,built,built,construire,bauen,construir,costruire,construir,يبني,建造
25,burn,burnt/burned,burnt/burned,brûler,brennen,quemar,bruciare,queimar,يحرق,燃烧
26,burst,burst,burst,éclater,bersten,estallar,scoppiare,explodir,ينفجر,爆裂
27,buy,bought,bought,acheter,kaufen,comprar,comprare,comprar,يشتري,买
28,cast,cast,cast,jeter,lancieren,arrojar,gettare,atirar,يرمي,投掷
29,catch,caught,caught,attraper,fangen,atrapar,catturare,pegar,يمسك,抓住
30,chide,chid,chidden/chid,réprimander,schelten,reñir,sgridare,repreender,يؤنب,责备
31,choose,chose,chosen,choisir,wählen,elegir,scegliere,escolher,يختار,选择
32,cleave,clove/cleft,cloven/cleft,fendre/adhérer,spalten,partir/aferrarse,scindere,dividir,يشق/يلتصق,劈开/黏附
33,cling,clung,clung,s'accrocher,klammern,aferrarse,stringersi,agarrar-se,يتشبث,紧贴
34,clothe,clad/clothed,clad/clothed,habiller,bekleiden,vestir,vestire,vestir,يلبس,穿衣
35,come,came,come,venir,kommen,venir,venire,vir,يأتي,来
36,cost,cost,cost,coûter,kosten,costar,costare,custar,يكلف,花费
37,creep,crept,crept,ramper,kriechen,arrastrarse,strisciare,rastejar,يزحف,爬行
38,cut,cut,cut,couper,schneiden,cortar,tagliare,cortar,يقطع,切
39,deal,dealt,dealt,négocier,handeln,tratar,trattare,tratar,يتعامل,处理
40,dig,dug,dug,creuser,graben,cavar,scavare,cavar,يحفر,挖
41,dive,dove/dived,dived,plonger,tauchen,zambullirse,tuffarsi,mergulhar,يغوص,潜水
42,do,did,done,faire,tun,hacer,fare,fazer,يفعل,做
43,draw,drew,drawn,dessiner/ tirer,zeichnen,dibujar,disegnare,desenhar,يرسم,画
44,dream,dreamt/dreamed,dreamt/dreamed,rêver,träumen,soñar,sognare,sonhar,يحلم,做梦
45,drink,drank,drunk,boire,trinken,beber,bere,beber,يشرب,喝
46,drive,drove,driven,conduire,fahren,conducir,guidare,dirigir,يقود,驾驶
47,dwell,dwelt/dwelled,dwelt/dwelled,habiter,wohnen,residir,dimorare,residir,يسكن,居住
48,eat,ate,eaten,manger,essen,comer,mangiare,comer,يأكل,吃
49,fall,fell,fallen,tomber,fallen,caer,cadere,cair,يسقط,跌倒
50,feed,fed,fed,nourrir,futtern,alimentar,nutrire,alimentar,يطعم,喂
51,feel,felt,felt,sentir,fühlen,sentir,sentire,sentir,يشعر,感觉
52,fight,fought,fought,se battre,kämpfen,pelear,lottare,lutar,يقاتل,战斗
53,find,found,found,trouver,finden,encontrar,trovare,encontrar,يجد,找到
54,flee,fled,fled,fuir,fliehen,huir,fuggire,fugir,يهرب,逃跑
55,fling,flung,flung,lancer violemment,schleudern,arrojar,lanciare,arremessar,يقذف,掷
56,fly,flew,flown,voler,fliegen,volar,volare,voar,يطير,飞
57,forbid,forbade,forbidden,interdire,verbieten,prohibir,proibire,proibir,يمنع,禁止
58,forget,forgot,forgotten,oublier,vergessen,olvidar,dimenticare,esquecer,ينسى,忘记
59,forgive,forgave,forgiven,pardonner,verzeihen,perdonar,perdonare,perdoar,يغفر,原谅
60,forsake,forsook,forsaken,abandonner,verlassen,abandonar,abbandonare,abandonar,يهجر,抛弃
61,freeze,froze,frozen,geler,gefrieren,congelar,congelare,congelar,يتجمد,冻结
62,get,got,got/gotten,obtenir/recevoir,bekommen,obtener/conseguir,ottenere,obter,يحصل,得到
63,gild,gilt/gilded,gilt/gilded,dorer,vergolden,dorar,indorare,dourar,يطلي بالذهب,镀金
64,gird,girt/girded,girt/girded,ceindre,umgürten,ceñir,cingere,cingir,يُحزم,束紧
65,give,gave,given,donner,geben,dar,dare,dar,يعطي,给
66,go,went,gone,aller,gehen,ir,andare,ir,يذهب,去
67,grind,ground,ground,moudre/broyer,mahlen,moler,macinare,moer,يطحن,磨碎
68,grow,grew,grown,grandir/pousser,wachsen,crecer,crescere,crescer,ينمو,生长
69,hang,hung,hung,pendre/suspendre,hängen,colgar,sospendere,pendurar,يعلق,挂
70,have,had,had,avoir,haben,tener,avere,ter,يملك,有
71,hear,heard,heard,entendre,hören,oír,sentire,ouvir,يسمع,听
72,heave,hove/heaved,hove/heaved,soulever,heben,alzar,sollevare,erguer,يرفع,举起
73,hew,hewed,hewn/hewed,tailler,behauen,tallar,sbozzare,lavrar,ينحت,砍削
74,hide,hid,hidden,cacher,se cacher,verstecken,esconder,nascondere,يخفي,藏
75,hit,hit,hit,frapper,schlagen,golpear,colpire,bater,يضرب,打
76,hold,held,held,tenir,halten,sostener,tenere,segurar,يمسك,握住
77,hurt,hurt,hurt,blesser,verletzen,herir,ferire,ferir,يؤذي,伤害
78,keep,kept,kept,garder,behalten,guardar,tenere,guardar,يحافظ,保持
79,kneel,knelt/kneeled,knelt/kneeled,s’agenouiller,knien,arrodillarse,inginocchiarsi,ajoelhar-se,يجثو,跪下
80,knit,knit/knitted,knit/knitted,tricoter,stricken,tejer,lavorare a maglia,tricotar,يحاك,编织
81,know,knew,known,savoir/connaître,wissen/kennen,saber/conocer,sapere/conoscere,saber/conhecer,يعرف,知道
82,lade,laden/loded,laden/loded,charger,beladen,cargar,caricare,carregar,يحمل,装载
83,lay,laid,laid,poser/étendre,legen,poner,mettere,colocar,يضع,放置
84lead,led,led,conduire/mener,führen,guiar,condurre,liderar,يقود,带领
85,lean,leant/leaned,leant/leaned,s’appuyer,lehnen,apoyarse,appoggiarsi,apoiar-se,يتكئ,倚靠
86,leap,leapt/leaped,leapt/leaped,sauter,besteigen,saltar,balzare,saltar,يقفز,跳跃
87,learn,learnt/learned,learnt/learned,apprendre,lernen,aprender,imparare,aprender,يتعلم,学习
88,leave,left,left,quitter/partir,verlassen,salir,lasciare,partir,يغادر,离开
89,lend,lent,lent,prêter,leihen,prestar,prestare,emprestar,يقرض,借出
90,let,let,let,laisser,lassen,dejar,lasciare,deixar,يترك,让
91,lie,lay,lain,être allongé,liegen,yacer,giacere,ficar deitado,يستلقي,躺
92,light,lit/lighted,lit/lighted,allumer,anzünden,encender,accendere,acender,يشعل,点亮
93,lose,lost,lost,perdre,verlieren,perder,perdere,perder,يخسر,失去
94,make,made,made,faire/fabriquer,machen,hacer,fare,fazer,يصنع,制作
95,mean,meant,meant,signifier,bedeuten,significar,significare,significar,يعني,意味着
96,meet,met,met,rencontrer,treffen,encontrar,incontrare,encontrar,يلتقي,遇见
97,melt,melted,molten/melted,fondre,schmelzen,derretir,fondere,derreter,يذوب,融化
98,miscast,miscast,miscast,mal distribuer (rôle),falsch besetzen,mal elegir,assegnare male,escalar errado,يسيء الاختيار,选角不当
99,misdeal,misdealt,misdealt,mal distribuer,verkeilt geben,repartir mal,distribuire male,distribuir mal,يسيء التوزيع,发牌错误
100,misgive,misgave,misgiven,inquiéter,beunruhigen,preocupar,preoccupare,preocupar,يقلق,担忧
101,mishear,misheard,misheard,mal entendre,verhören,oír mal,udire male,ouvir mal,يسيء السمع,听错
102,mislay,mislaid,mislaid,égarer,verlegen,extraviar,smarrire,desaparecer,يُضيع,放错
103,mislead,misled,misled,tromper,irreführen,engañar,ingannare,enganar,يضلل,误导
104,misread,misread,misread,mal lire,falsch lesen,leer mal,leggere male,ler mal,يسيء القراءة,读错
105,misspell,misspelt/misspelled,misspelt/misspelled,mal orthographier,falsch schreiben,escribir mal,sbagliare ortografia,soletrar mal,يخطئ الإملاء,拼错
106,misspend,misspent,misspent,mal dépenser,verschwenden,malgastar,sprecare,gastar mal,يسيء الإنفاق,乱花
107,mistake,mistook,mistaken,se tromper,irren,equivocarse,sbagliare,enganar-se,يخطئ,弄错
108,misunderstand,misunderstood,misunderstood,mal comprendre,missverstehen,malentender,capire male,entender mal,يسيء الفهم,误解
109,name,named,named,nommer,benennen,nombar,nominare,nomear,يسمي,命名
110,outbid,outbid,outbid,surenchérir,überbieten,sobrepujar,superare in offerta,sobrepujar,يزايد,出价超过
111,outdo,outdid,outdone,faire mieux,übertreffen,superar,superare,superar,يتفوق,胜过
112,outgrow,outgrew,outgrown,dépasser en croissance,herauswachsen,superar en crecimiento,crescere oltre,crescer além,يتجاوز,长大超过
113,overcome,overcame,overcome,surmonter,überwinden,superar,sconfiggere,superar,يتغلب,克服
114,overdo,overdid,overdone,exagérer,übertreiben,exagerar,esagerare,exagerar,يبالغ,做得过火
115,overdraw,overdrew,overdrawn,être à découvert,überziehen,descubrir,scoprire,descobrir,يسحب فوق الحد,透支
116,overeat,overate,overeaten,trop manger,überessen,comer de más,abbuffarsi,comer demais,يأكل بإفراط,吃太多
117,overfly,overflew,overflown,survoler,überfliegen,sobrevolar,sorvolare,sobrevoar,يحلق فوق,飞越
118,overhang,overhung,overhung,surplomber,überhängen,sobresalir,sporgere,sobressair,يعلو,悬垂
119,overhear,overheard,overheard,entendre par hasard,überhören,oir sin querer,udire per caso,ouvir sem querer,يسمع صدفة,无意听到
120,overlay,overlaid,overlaid,recouvrir,überlagern,recubrir,ricoprire,recobrir,يغطي,覆盖
121,overpay,overpaid,overpaid,payer trop,überzahlen,pagar de más,pagare troppo,pagar demais,يدفع أكثر,付太多
122,override,overrode,overridden,annuler/primer,übersteuern,anular,scavalcare,anular,يلغي,推翻
123,overrun,overran,overrun,déborder/envahir,überlaufen,invadir,invadere,invadir,يجتاح,泛滥
124,oversee,oversaw,overseen,superviser,überwachen,supervisar,sovrintendere,supervisionar,يشرف,监督
125,overshoot,overshot,overshot,dépasser,überschießen,sobrepasar,sorpassare,ultrapassar,يتجاوز,超出
126,oversleep,overslept,overslept,dormir trop,verschlafen,dormirse,addormentarsi troppo,dormir demais,ينام كثيراً,睡过头
127,overtake,overtook,overtaken,dépasser,überholen,adelantar,sorpassare,ultrapassar,يتجاوز,超车
128,overthrow,overthrew,overthrown,renverser,stürzen,derrocar,rovesciare,derrubar,يطيح,推翻
129,partake,partook,partaken,participer,teilnehmen,participar,partecipare,participar,يشارك,参与
130,pay,paid,paid,payer,bezahlen,pagar,pagare,pagar,يدفع,支付
131,plead,pled/pleaded,pled/pleaded,plaider,plädieren,alegar,perorare,alegar,يتوسل,恳求
132,prove,proved,proven/proved,prouver,beweisen,probar,provare,provar,يثبت,证明
133,put,put,put,mettre,legen,poner,mettere,por,يضع,放
134,quit,quit,quit,quitter,aufhören,dejar,lasciare,desistir,يترك,退出
135,read,read,read,lire,lesen,leer,leggere,ler,يقرأ,读
136,rebind,rebond,rebond,relier de nouveau,neu binden,encuadernar de nuevo,rilegare di nuovo,reencadernar,يعيد الربط,重新装订
137,rebuild,rebuild,rebuild,reconstruire,wiederaufbauen,reconstruir,ricostruire,reconstruir,يعيد البناء,重建
138,recast,recast,recast,refondre,umgestalten,reformular,riconfigurare,reformular,يعيد الصياغة,重铸
139,redo,redid,redone,refaire,neu machen,repetir,rifare,refazer,يعيد,重做
140,rehear,reheard,reheard,réentendre,erneut hören,volver a oír,riascoltare,ouvir novamente,يسمع مجدداً,再听
141,relay,relayed,relayed,relayer,weitergeben,retransmitir,rilanciare,retransmitir,ينقل,转播
142,rend,rent,rent,déchirer violemment,zerreißen,rasgar violentamente,stracciare,rasgar,يمزق,撕裂
143,repay,repaid,repaid,rembourser,zurückzahlen,devolver,pagare indietro,pagar de volta,يسدد,偿还
144,rerun,reran,rerun,rediffuser,neu laufen lassen,repetir emisión,replicare,repetir,يعيد العرض,重播
145,resell,resold,resold,revendre,weiterverkaufen,revender,rivendere,revender,يعيد البيع,转卖
146,reset,reset,reset,rétablir,zurücksetzen,reajustar,reimpostare,redefinir,يعيد الضبط,重置
147,resit,resat,resat,repasser (examen),wiederholen,repetir examen,ripetere esame,refazer prova,يعيد الامتحان,重考
148,retake,retook,retaken,reprendre,nochmals nehmen,retomar,riappropriarsi,retomar,يستعيد,重新拿回
149,retell,retold,retold,redire,nacherzählen,volver a contar,ritraccontare,recontar,يعيد السرد,重述
150,rewrite,rewrote,rewritten,réécrire,umschreiben,re-escribir,riscrivere,re-escrever,يعيد الكتابة,重写
151,rid,rid,rid,débarrasser,befreien,liberar,liberare,livrar,يتخلص,摆脱
152,ride,rode,ridden,monter,reiten,montar,andare a cavallo,montar,يركب,骑
153,ring,rang,rung,sonner,läuten,sonar,suonare,tocar,يرن,响
154,rise,rose,risen,se lever,aufstehen,levantarse,alzarsi,erguer-se,ينهض,升起
155,rive,rived,riven/rived,fendre,spalten,rajar,spaccare,rachar,يشق,裂开
156,run,ran,run,courir,rennen,correr,correre,correr,يجري,跑
157,saw,sawed,sawn/sawed,scier,sägen,serrar,segaire,serrar,ينشر,锯
158,say,said,said,dire,sagen,decir,dire,dizer,يقول,说
159,see,saw,seen,voir,sehen,ver,vedere,ver,يرى,看见
160,seek,sought,sought,chercher,suchen,buscar,cercare,procurar,يبحث,寻找
161,sell,sold,sold,vendre,verkaufen,vender,vendere,vender,يبيع,卖
162,send,sent,sent,envoyer,senden,enviar,mandare,enviar,يرسل,发送
163,set,set,set,poser/fixer,setzen,poner,impostare,definir,يحدد,设置
164,sew,sewed,sewn/sewed,coudre,nähen,cocer,cucire,costurar,يخيط,缝纫
165,shake,shook,shaken,secouer,schütteln,agitar,scuotere,agitar,يهز,摇动
166,shave,shaved,shaven/shaved,raser,rasieren,afeitar,radere,barbear,يحلق,剃
167,shear,sheared,shorn/sheared,tondre,scheren,esquilar,tosare,tosquiar,يجز,剪羊毛
168,shed,shed,shed,répandre,vergießen,derramar,spargere,derramar,يسكب,洒
169,shine,shone,shone,briller,scheinen,brillar,brillare,brilhar,يضيء,发光
170,shoe,shod/shoed,shod/shoed,chausser,beschlagen,calar,ferrare,calçar,يضع حذاء,钉掌
171,shoot,shot,shot,tirer,schießen,disparar,sparare,atirar,يطلق النار,射击
172,show,showed,shown,montrer,zeigen,mostrar,mostrare,mostrar,يُظهر,展示
173,shrink,shrank/shrunk,shrunk/shrunken,rétrécir,schrumpfen,encoger,restrignersi,encolher,ينكمش,收缩
174,shut,shut,shut,fermer,schließen,cerrar,chiudere,fechar,يغلق,关
175,sing,sang,sung,chanter,singen,cantar,cantare,cantar,يغني,唱歌
176,sink,sank,sunk,couler,sinken,hundirse,sprofondare,afundar,يغرق,下沉
177,sit,sat,sat,s’asseoir,sitzen,sentarse,sedere,sentar-se,يجلس,坐
178,slay,slew,slain,tuer (épique),erschlagen,matar,uccidere,abater,يقتل,杀死
179,sleep,slept,slept,dormir,schlafen,dormir,dormire,dormir,ينام,睡觉
180,slide,slid,slid,glisser,rutschen,deslizarse,scivolare,escorregar,ينزلق,滑动
181,sling,slung,slung,lancer violemment,schleudern,arrojar,lanciare,arremessar,يقذف,掷
182,slink,slunk,slunk,se glisser furtivement,schleichen,escabullirse,sgattaiolare,esgueirar-se,يتسلل,溜走
183,slit,slit,slit,fendre/inciser,aufschlitzen,hendir,incidere,rasgar,يشق,切开
184,smell,smelt/smelled,smelt/smelled,sentir,riechen,oler,annusare,cheirar,يشم,闻
185,smite,smote,smitten,frapper (biblique),schlagen,golpear,percuotere,golpear,يضرب,击打
186,sow,sowed,sown/sowed,ensemencer,säen,sembrar,semenzare,semear,يزرع,播种
187,speak,spoke,spoken,parler,sprechen,hablar,parlare,falar,يتكلم,说话
